,x,y,type,weight
0,213,1010,endpt,3.1622777
1,281,1103,endpt,2.828427
2,293,975,endpt,2.0
4,295,946,endpt,2.236068
6,299,1007,endpt,3.0
7,299,1049,endpt,3.0
8,299,1084,endpt,3.0
9,299,1089,endpt,3.0
10,300,1109,endpt,3.6055512
11,304,1015,endpt,3.0
12,306,1045,endpt,4.0
13,310,1073,endpt,2.0
14,313,1096,endpt,3.0
15,317,984,endpt,3.0
16,317,1096,endpt,3.0
17,320,1105,endpt,2.828427
18,321,932,endpt,3.1622777
19,326,1146,endpt,4.0
20,327,747,endpt,2.0
21,327,757,endpt,2.0
22,328,918,endpt,4.0
23,328,1173,endpt,6.708204
25,329,1224,endpt,3.0
26,330,1017,endpt,2.0
29,332,741,endpt,2.0
30,332,863,endpt,4.0
31,332,1128,endpt,1.0
34,334,1065,endpt,2.0
35,336,1060,endpt,3.1622777
36,337,1016,endpt,2.236068
37,337,1030,endpt,3.0
38,337,1160,endpt,1.4142135
39,338,668,endpt,3.6055512
40,338,1098,endpt,2.828427
41,338,1149,endpt,3.6055512
43,340,1029,endpt,3.1622777
44,343,745,endpt,2.0
46,346,863,endpt,2.828427
48,349,500,endpt,2.828427
49,352,500,endpt,3.0
50,354,1250,endpt,3.1622777
51,355,1006,endpt,3.6055512
54,358,589,endpt,3.1622777
56,358,677,junction,3.0
57,359,423,endpt,2.828427
60,362,851,endpt,4.472136
61,363,675,endpt,1.0
62,363,912,endpt,3.6055512
63,365,734,endpt,3.6055512
64,367,685,endpt,1.0
65,367,912,endpt,2.828427
66,368,779,endpt,2.828427
67,373,690,endpt,2.0
68,374,1106,endpt,6.3245554
70,375,700,endpt,2.828427
71,375,886,endpt,2.236068
72,375,918,endpt,2.828427
74,377,487,endpt,2.236068
75,377,751,endpt,5.0990195
76,378,892,endpt,2.0
77,378,1149,endpt,4.0
78,379,706,endpt,2.0
79,380,1184,endpt,1.0
80,381,544,endpt,3.0
81,381,1203,endpt,3.0
82,382,633,endpt,4.0
83,383,724,endpt,3.0
84,383,788,endpt,5.0990195
85,385,634,endpt,3.0
86,385,821,endpt,3.0
87,385,1153,endpt,3.0
88,385,1187,junction,4.0
90,387,513,endpt,2.236068
91,387,658,endpt,4.0
93,389,431,endpt,3.0
95,391,657,endpt,4.1231055
96,392,755,endpt,2.0
97,397,1131,endpt,2.828427
98,398,840,endpt,3.0
99,400,816,endpt,3.1622777
100,401,548,endpt,3.0
101,401,826,endpt,3.1622777
102,402,1263,endpt,2.0
103,403,693,endpt,3.0
104,404,701,endpt,2.0
105,404,1132,endpt,2.0
106,406,637,endpt,4.1231055
107,407,773,endpt,2.236068
